Code,Description,Level
A,"Raw Materials, Chemicals, Paper, Fuel",0
B,Industrial Equipment & Tools,0
C,Components & Supplies,0
D," Construction, Transportation & Facility Equipment & Supplies",0
E,"Medical, Laboratory & Test Equipment & Supplies & Pharmaceuticals",0
F,"Food, Cleaning & Service Industry Equipment & Supplies",0
G,"Business, Communication & Technology Equipment & Supplies",0
H,"Defense, Security & Safety Equipment & Supplies",0
I," Personal, Domestic & Consumer Equipment & Supplies",0
J,Services,0
10000000,Live Plant and Animal Material and Accessories and Supplies,1
10100000,Live animals,2
10101500,Livestock,3
10101501,Cats,4
10101502,Dogs,4
10101506,Horses,4
10101507,Sheep,4
10101508,Goats,4
10101509,Asses,4
10101511,Swine,4
10101512,Rabbits,4
10101513,Guinea pigs,4
10101516,Cattle,4
10101600,Birds and fowl,3
10101601,Live chickens,4
10101602,Live ducks,4
10101603,Live turkeys,4
10101604,Live geese,4
10101605,Live pheasants,4
10101700,Live fish,3
10101701,Live salmon,4
10101800,Shellfish and aquatic invertebrates,3
10101801,Live shrimp,4
10101900,Insects,3
10101903,Bees,4
10101904,Silkworms,4
10120000,Animal feed,2
10121500,Livestock feed,3
10121501,Pure wheat bran,4
10121600,Bird and fowl food,3
10121601,Live food for birds,4
10121700,Fish food,3
10121701,Fresh or frozen brine,4
10121800,Dog and cat food,3
10121801,Dry food for dogs,4
10131600,Animal containment,3
10131500,Animal shelters,3
10131601,Cages or its accessories,4
10131701,Terrariums,4
10131602,Kennels,4
10140000,Saddlery and harness goods,2
10141500,Saddlery,3
10141501,Saddles,4
10150000,Seeds and bulbs and seedlings and cuttings,2
10151500,Vegetable seeds and seedlings,3
10152301,Bean seeds or seedlings,4
10152404,Carrot seeds or seedlings,4
10151503,Celery seeds or seedlings,4
10151504,Chili seeds or seedlings,4
10151505,Courgette seeds or seedlings,4
10151506,Pea seeds or seedlings,4
10151507,Cucumber seeds or seedlings,4
10151508,Eggplant seeds or seedlings,4
10151509,Endive seeds or seedlings,4
10151510,Garlic seeds or seedlings,4
10151511,Leek seeds or seedlings,4
10151512,Lettuce seeds or seedlings,4
10151513,Corn seeds or seedlings,4
10151514,Melon seeds or seedlings,4
10151515,Onion seeds or seedlings,4
10152302,Soya seeds or seedlings,4
10151517,Spinach seeds or seedlings,4
10151518,Tomato seeds or seedlings,4
10152402,Turnip seeds or seedlings,4
10151520,Chard seeds or seedlings,4
10151600,Cereal seeds,3
10151601,Wheat seeds,4
10151602,Colza seeds,4
10151603,Barley seeds,4
10151604,Millet seeds,4
10151605,Oat seeds,4
10151606,Sesame seeds,4
10151607,Linseed seeds,4
10151608,Castor oil seeds,4
10151609,Maize seeds,4
10151610,Rye seeds,4
10151611,Sorghum seeds,4
10151700,Grass and forage seeds and seedlings,3
10151614,Rice seeds or seedlings,4
10151800,Spice crop seeds and seedlings,3
10151900,Flower seeds and bulbs and seedlings and cuttings,3
10152000,Tree and shrub seeds and cuttings,3
10152001,Fruit tree seeds or cuttings,4
10152003,Nut tree seeds or cuttings,4
10160000,Floriculture and silviculture products,2
10161500,Trees and shrubs,3
10170000,Fertilizers and plant nutrients and herbicides,2
10171500,Organic fertilizers and plant nutrients,3
10171501,Manure or guano,4
10171502,Plant hormones,4
10171600,Chemical fertilizers and plant nutrients,3
